	subject	task	num_epochs	num_epochs_after_rejection	num_rejected_channels
0	sub-P01	JustFaces	259	259	5
1	sub-P02	JustFaces	259	250	1
2	sub-P03	JustFaces	260	236	35
3	sub-P04	JustFaces	259	256	2
4	sub-P05	JustFaces	260	258	1
5	sub-P06	JustFaces	259	253	5
6	sub-P07	JustFaces	260	255	1
7	sub-P08	JustFaces	260	255	3
8	sub-P09	JustFaces	260	249	11
9	sub-P10	JustFaces	259	259	2
10	sub-P11	JustFaces	259	252	7
11	sub-P12	JustFaces	260	257	4
12	sub-P13	JustFaces	260	251	1
13	sub-P14	JustFaces	260	138	3
14	sub-P15	JustFaces	260	163	1
15	sub-P16	JustFaces	260	234	3
16	sub-P17	JustFaces	259	259	3
17	sub-P18	JustFaces	259	259	3
18	sub-P19	JustFaces	260	217	1
19	sub-P20	JustFaces	260	258	2
20	sub-P21	JustFaces	260	257	4
21	sub-P22	JustFaces	259	259	3
22	sub-P23	JustFaces	259	255	5
23	sub-P24	JustFaces	259	259	1
24	sub-P25	JustFaces	259	254	9
25	sub-P26	JustFaces	260	227	9
26	sub-P27	JustFaces	260	247	6
27	sub-P28	JustFaces	259	256	6
28	sub-P29	JustFaces	260	238	2
29	sub-P30	JustFaces	259	257	2
30	sub-P31	JustFaces	259	257	4
31	sub-P32	JustFaces	260	253	2
32	sub-P33	JustFaces	260	258	2
33	sub-P34	JustFaces	260	231	1
34	sub-P35	JustFaces	259	243	2
35	sub-P36	JustFaces	260	238	1
36	sub-P37	JustFaces	260	257	1
37	sub-P38	JustFaces	260	259	2
38	sub-P39	JustFaces	260	259	1
39	sub-P40	JustFaces	260	259	1
40	sub-P41	JustFaces	260	221	2
41	sub-P42	JustFaces	260	188	1
42	sub-P43	JustFaces	260	257	1
43	sub-P44	JustFaces	260	255	1
44	sub-P01	StatementsFaces	240	236	2
45	sub-P02	StatementsFaces	240	230	2
46	sub-P03	StatementsFaces	240	166	47
47	sub-P04	StatementsFaces	240	240	1
48	sub-P05	StatementsFaces	240	238	1
49	sub-P06	StatementsFaces	240	238	2
50	sub-P07	StatementsFaces	240	227	1
51	sub-P08	StatementsFaces	240	231	1
52	sub-P09	StatementsFaces	240	235	7
53	sub-P10	StatementsFaces	240	235	2
54	sub-P11	StatementsFaces	240	214	8
55	sub-P12	StatementsFaces	240	238	4
56	sub-P13	StatementsFaces	240	236	1
57	sub-P14	StatementsFaces	240	204	2
58	sub-P15	StatementsFaces	240	211	1
59	sub-P16	StatementsFaces	240	225	3
60	sub-P17	StatementsFaces	240	237	5
61	sub-P18	StatementsFaces	240	238	2
62	sub-P19	StatementsFaces	240	225	1
63	sub-P20	StatementsFaces	240	239	1
64	sub-P21	StatementsFaces	240	240	4
65	sub-P22	StatementsFaces	240	237	3
66	sub-P23	StatementsFaces	240	221	6
67	sub-P24	StatementsFaces	999	999	999
68	sub-P25	StatementsFaces	240	229	6
69	sub-P26	StatementsFaces	240	210	6
70	sub-P27	StatementsFaces	240	216	5
71	sub-P28	StatementsFaces	240	235	2
72	sub-P29	StatementsFaces	240	217	2
73	sub-P30	StatementsFaces	240	236	1
74	sub-P31	StatementsFaces	240	240	2
75	sub-P32	StatementsFaces	240	233	2
76	sub-P33	StatementsFaces	240	238	1
77	sub-P34	StatementsFaces	240	213	1
78	sub-P35	StatementsFaces	240	218	3
79	sub-P36	StatementsFaces	240	237	1
80	sub-P37	StatementsFaces	240	237	2
81	sub-P38	StatementsFaces	240	236	1
82	sub-P39	StatementsFaces	240	227	1
83	sub-P40	StatementsFaces	240	239	1
84	sub-P41	StatementsFaces	999	999	999
85	sub-P42	StatementsFaces	240	229	1
86	sub-P43	StatementsFaces	240	238	1
87	sub-P44	StatementsFaces	240	233	1
