participant_id	age	sex
sub-P01	20	F
sub-P02	21	M
sub-P03	19	M
sub-P04	22	F
sub-P05	21	F
sub-P06	38	F
sub-P07	20	F
sub-P08	20	M
sub-P09	21	F
sub-P10	20	F
sub-P11	21	F
sub-P12	21	M
sub-P13	22	F
sub-P14	22	F
sub-P15	21	F
sub-P16	26	F
sub-P17	23	F
sub-P18	20	F
sub-P19	20	F
sub-P20	19	F
sub-P21	21	F
sub-P22	21	F
sub-P23	21	F
sub-P24	23	F
sub-P25	20	F
sub-P26	22	F
sub-P27	21	F
sub-P28	21	M
sub-P29	22	F
sub-P30	19	F
sub-P31	20	F
sub-P32	21	F
sub-P33	20	F
sub-P34	22	F
sub-P35	19	F
sub-P36	20	F
sub-P37	21	M
sub-P38	19	F
sub-P39	25	F
sub-P40	19	F
sub-P41	20	F
sub-P42	24	F
sub-P43	21	F
sub-P44	21	F
